province,latitude,longitude
Aceh,4.22866003368965,96.91241827787225
Bali,-8.368695309889835,115.13137453736873
Banten,-6.455903099607109,106.11118828154541
Bengkulu,-3.5562141166040977,102.34330374742972
DI Yogyakarta,-7.8954224585838935,110.4460463315892
DKI Jakarta,-6.20671434893965,106.83854389779462
Gorontalo,0.6859943293676124,122.37562353962868
Jambi,-1.6986652225752348,102.7153562575994
Jawa Barat,-6.921141725598703,107.60330679193851
Jawa Tengah,-7.260269632386241,110.20151528916071
Jawa Timur,-7.7220980109236,112.72759428291623
Kalimantan Barat,-0.086028103220573,111.12242890206186
Kalimantan Selatan,-3.0006725042439797,115.43877961388814
Kalimantan Tengah,-1.6070569848773202,113.41593908000742
Kalimantan Timur,0.4553530683689715,116.44816595208385
Kalimantan Utara,2.9152326699914037,116.24415730326741
Kepulauan Bangka Belitung,-2.446868715888095,106.54846989132866
Kepulauan Riau,1.5041343321751854,105.44568863981723
Lampung,-4.916218277246544,105.02134047811253
Maluku,-4.723367285223316,129.80227972758723
Maluku Utara,0.2162451871475494,127.54078816400211
Nusa Tenggara Barat,-8.607861038589522,117.50899267915071
Nusa Tenggara Timur,-9.263833303507779,122.18572678839814
Papua,-2.612893893354926,138.53657493993023
Papua Barat,-2.655760036396421,133.65220896199858
Papua Barat Daya,-1.1251277727309976,131.97289506728518
Papua Pegunungan,-4.229563080733944,139.45447307807558
Papua Selatan,-6.682863160879166,139.54776262741106
Papua Tengah,-3.91163161798955,136.62403286963323
Riau,0.5085312334191473,101.81436455002742
Sulawesi Barat,-2.4658025069337484,119.34817464921453
Sulawesi Selatan,-3.7280909543239766,120.16356794920075
Sulawesi Tengah,-1.013032856947915,121.20024266135572
Sulawesi Tenggara,-4.132449794470896,122.07067770982543
Sulawesi Utara,1.246502085046831,124.5133419105028
Sumatera Barat,-0.8455629590654046,100.4657433573097
Sumatera Selatan,-3.213373722666659,104.16997750078525
Sumatera Utara,2.192644922760597,99.06005573057165
