Provinsi,Komoditas,Produksi
PAPUA BARAT,Jagung,23364.0
PAPUA BARAT,Kacang Hijau,0.0
PAPUA BARAT,Kacang Tanah,178.0
PAPUA BARAT,Kedelai,23.0
PAPUA BARAT,Padi,118565.14
PAPUA BARAT DAYA,Jagung,2601.0
PAPUA BARAT DAYA,Kacang Hijau,5.0
PAPUA BARAT DAYA,Kacang Tanah,91.0
PAPUA BARAT DAYA,Kedelai,25.0
PAPUA BARAT DAYA,Padi,3385.64
PAPUA PEGUNUNGAN,Jagung,526.0
PAPUA PEGUNUNGAN,Kacang Hijau,0.0
PAPUA PEGUNUNGAN,Kacang Tanah,0.0
PAPUA PEGUNUNGAN,Kedelai,2.0
PAPUA PEGUNUNGAN,Padi,104.38
PAPUA SELATAN,Jagung,2167.0
PAPUA SELATAN,Kacang Hijau,41.0
PAPUA SELATAN,Kacang Tanah,351.0
PAPUA SELATAN,Kedelai,5.0
PAPUA SELATAN,Padi,401417.62
PAPUA TENGAH,Jagung,14118.0
PAPUA TENGAH,Kacang Hijau,4.0
PAPUA TENGAH,Kacang Tanah,200.0
PAPUA TENGAH,Kedelai,7.0
PAPUA TENGAH,Padi,15345.38
RIAU,Jagung,4044.0
RIAU,Kacang Hijau,649.7
RIAU,Kacang Tanah,2761.4300000000003
RIAU,Kedelai,4219.139999999999
RIAU,Padi,1102729.4
SULAWESI BARAT,Jagung,108788.0
SULAWESI BARAT,Kacang Hijau,555.0
SULAWESI BARAT,Kacang Tanah,598.0
SULAWESI BARAT,Kedelai,1175.0
SULAWESI BARAT,Padi,1619971.3
SULAWESI SELATAN,Jagung,5429357.0
SULAWESI SELATAN,Kacang Hijau,35763.5
SULAWESI SELATAN,Kacang Tanah,67094.11
SULAWESI SELATAN,Kedelai,34106.5
SULAWESI SELATAN,Padi,24854087.07
SULAWESI TENGAH,Jagung,383091.0
SULAWESI TENGAH,Kacang Hijau,1502.4
SULAWESI TENGAH,Kacang Tanah,10475.74
SULAWESI TENGAH,Kedelai,33680.34
SULAWESI TENGAH,Padi,3986974.11
