Provinsi,Tahun,Produksi,Komoditas
DAERAH ISTIMEWA YOGYAKARTA,2020,523395.95,Padi
DAERAH ISTIMEWA YOGYAKARTA,2021,556531.03,Padi
DAERAH ISTIMEWA YOGYAKARTA,2022,561699.53,Padi
DAERAH ISTIMEWA YOGYAKARTA,2023,534113.69,Padi
DAERAH ISTIMEWA YOGYAKARTA,2024,452831.77,Padi
DAERAH KHUSUS IBUKOTA JAKARTA,2020,0.0,Jagung
DAERAH KHUSUS IBUKOTA JAKARTA,2021,0.0,Jagung
DAERAH KHUSUS IBUKOTA JAKARTA,2022,0.0,Jagung
DAERAH KHUSUS IBUKOTA JAKARTA,2023,0.0,Jagung
DAERAH KHUSUS IBUKOTA JAKARTA,2024,0.0,Jagung
DAERAH KHUSUS IBUKOTA JAKARTA,2020,0.0,Kacang Hijau
DAERAH KHUSUS IBUKOTA JAKARTA,2021,0.0,Kacang Hijau
DAERAH KHUSUS IBUKOTA JAKARTA,2022,0.0,Kacang Hijau
DAERAH KHUSUS IBUKOTA JAKARTA,2023,0.0,Kacang Hijau
DAERAH KHUSUS IBUKOTA JAKARTA,2024,0.0,Kacang Hijau
DAERAH KHUSUS IBUKOTA JAKARTA,2020,0.0,Kacang Tanah
DAERAH KHUSUS IBUKOTA JAKARTA,2021,0.0,Kacang Tanah
DAERAH KHUSUS IBUKOTA JAKARTA,2022,0.0,Kacang Tanah
DAERAH KHUSUS IBUKOTA JAKARTA,2023,0.0,Kacang Tanah
DAERAH KHUSUS IBUKOTA JAKARTA,2024,0.0,Kacang Tanah
DAERAH KHUSUS IBUKOTA JAKARTA,2020,0.0,Kedelai
DAERAH KHUSUS IBUKOTA JAKARTA,2021,0.0,Kedelai
DAERAH KHUSUS IBUKOTA JAKARTA,2022,0.0,Kedelai
DAERAH KHUSUS IBUKOTA JAKARTA,2023,0.0,Kedelai
DAERAH KHUSUS IBUKOTA JAKARTA,2024,0.0,Kedelai
DAERAH KHUSUS IBUKOTA JAKARTA,2020,4543.93,Padi
DAERAH KHUSUS IBUKOTA JAKARTA,2021,3249.47,Padi
DAERAH KHUSUS IBUKOTA JAKARTA,2022,2337.77,Padi
DAERAH KHUSUS IBUKOTA JAKARTA,2023,2674.28,Padi
DAERAH KHUSUS IBUKOTA JAKARTA,2024,2306.54,Padi
GORONTALO,2020,580370.0,Jagung
GORONTALO,2021,669890.0,Jagung
GORONTALO,2022,692439.0,Jagung
GORONTALO,2023,527923.0,Jagung
GORONTALO,2024,625972.0,Jagung
GORONTALO,2020,9.0,Kacang Hijau
GORONTALO,2021,19.5,Kacang Hijau
GORONTALO,2022,14.3,Kacang Hijau
GORONTALO,2023,9.0,Kacang Hijau
GORONTALO,2024,11.0,Kacang Hijau
GORONTALO,2020,197.43,Kacang Tanah
GORONTALO,2021,156.46,Kacang Tanah
GORONTALO,2022,154.75,Kacang Tanah
GORONTALO,2023,187.0,Kacang Tanah
GORONTALO,2024,113.0,Kacang Tanah
GORONTALO,2020,1145.93,Kedelai
GORONTALO,2021,577.18,Kedelai
GORONTALO,2022,1549.34,Kedelai
GORONTALO,2023,2412.0,Kedelai
GORONTALO,2024,5044.0,Kedelai
GORONTALO,2020,227627.2,Padi
GORONTALO,2021,234392.86,Padi
GORONTALO,2022,240134.53,Padi
GORONTALO,2023,251431.76,Padi
GORONTALO,2024,234862.88,Padi
JAMBI,2020,7604.0,Jagung
JAMBI,2021,9719.0,Jagung
JAMBI,2022,10477.0,Jagung
JAMBI,2023,4725.0,Jagung
JAMBI,2024,10531.0,Jagung
JAMBI,2020,0.0,Kacang Hijau
JAMBI,2021,0.0,Kacang Hijau
JAMBI,2022,0.0,Kacang Hijau
JAMBI,2023,68.0,Kacang Hijau
JAMBI,2024,58.0,Kacang Hijau
JAMBI,2020,1631.67,Kacang Tanah
JAMBI,2021,1617.17,Kacang Tanah
JAMBI,2022,3181.85,Kacang Tanah
JAMBI,2023,1460.0,Kacang Tanah
JAMBI,2024,1204.0,Kacang Tanah
JAMBI,2020,8278.36,Kedelai
JAMBI,2021,6503.75,Kedelai
JAMBI,2022,4631.28,Kedelai
JAMBI,2023,4512.0,Kedelai
JAMBI,2024,866.0,Kedelai
JAMBI,2020,386413.49,Padi
JAMBI,2021,298149.25,Padi
JAMBI,2022,277743.83,Padi
JAMBI,2023,275941.45,Padi
JAMBI,2024,281022.05,Padi
JAWA BARAT,2020,418402.0,Jagung
JAWA BARAT,2021,491528.0,Jagung
JAWA BARAT,2022,727068.0,Jagung
JAWA BARAT,2023,577185.0,Jagung
JAWA BARAT,2024,564291.0,Jagung
JAWA BARAT,2020,8035.5,Kacang Hijau
JAWA BARAT,2021,6385.5,Kacang Hijau
JAWA BARAT,2022,5004.0,Kacang Hijau
JAWA BARAT,2023,4688.0,Kacang Hijau
JAWA BARAT,2024,3523.0,Kacang Hijau
JAWA BARAT,2020,41345.07,Kacang Tanah
JAWA BARAT,2021,39379.54,Kacang Tanah
JAWA BARAT,2022,42033.07,Kacang Tanah
JAWA BARAT,2023,31544.0,Kacang Tanah
JAWA BARAT,2024,27114.0,Kacang Tanah
JAWA BARAT,2020,90513.98,Kedelai
JAWA BARAT,2021,23094.6,Kedelai
JAWA BARAT,2022,36011.52,Kedelai
JAWA BARAT,2023,38546.0,Kedelai
JAWA BARAT,2024,13154.0,Kedelai
JAWA BARAT,2020,9016772.58,Padi
JAWA BARAT,2021,9113574.0,Padi
JAWA BARAT,2022,9433723.0,Padi
JAWA BARAT,2023,9140039.0,Padi
JAWA BARAT,2024,8626879.91,Padi
JAWA TENGAH,2020,2279146.0,Jagung
JAWA TENGAH,2021,2128959.0,Jagung
JAWA TENGAH,2022,2424371.0,Jagung
JAWA TENGAH,2023,2174484.0,Jagung
JAWA TENGAH,2024,2426509.0,Jagung
JAWA TENGAH,2020,87458.4,Kacang Hijau
JAWA TENGAH,2021,114226.4,Kacang Hijau
JAWA TENGAH,2022,32395.9,Kacang Hijau
JAWA TENGAH,2023,79277.0,Kacang Hijau
JAWA TENGAH,2024,57189.0,Kacang Hijau
JAWA TENGAH,2020,92021.87,Kacang Tanah
JAWA TENGAH,2021,69190.54,Kacang Tanah
JAWA TENGAH,2022,60954.0,Kacang Tanah
JAWA TENGAH,2023,58650.0,Kacang Tanah
JAWA TENGAH,2024,49651.0,Kacang Tanah
JAWA TENGAH,2020,43796.31,Kedelai
JAWA TENGAH,2021,51769.33,Kedelai
JAWA TENGAH,2022,62031.66,Kedelai
JAWA TENGAH,2023,81315.0,Kedelai
JAWA TENGAH,2024,70905.0,Kedelai
JAWA TENGAH,2020,9489164.62,Padi
JAWA TENGAH,2021,9618656.81,Padi
JAWA TENGAH,2022,9356445.49,Padi
JAWA TENGAH,2023,9084107.53,Padi
JAWA TENGAH,2024,8891297.05,Padi
JAWA TIMUR,2020,4134908.0,Jagung
JAWA TIMUR,2021,3991492.0,Jagung
JAWA TIMUR,2022,4952603.0,Jagung
JAWA TIMUR,2023,4795781.0,Jagung
JAWA TIMUR,2024,4595792.0,Jagung
JAWA TIMUR,2020,50797.7,Kacang Hijau
JAWA TIMUR,2021,53138.9,Kacang Hijau
JAWA TIMUR,2022,35997.3,Kacang Hijau
JAWA TIMUR,2023,49962.0,Kacang Hijau
JAWA TIMUR,2024,28721.0,Kacang Hijau
JAWA TIMUR,2020,129275.65,Kacang Tanah
JAWA TIMUR,2021,119517.79,Kacang Tanah
