year,province,city_regency,latitude,longitude,timezone,avg_temperature,avg_humidity,total_precipitation,total_rainfall,total_et0,avg_soil_moisture_0_to_7cm,avg_soil_moisture_7_to_28cm,avg_soil_moisture_28_to_100cm,hourly_records,avg_soil_moisture
2020,Aceh,Aceh Besar,5.187659,95.715548,Asia/Jakarta,23.41370673952641,87.33663479052824,3964.5,3964.5,1160.6,0.3828921903460838,0.3835250455373406,0.38501343351548273,8784,0.38381022313296903
2020,Aceh,Aceh Timur,4.94952,97.77267,Asia/Jakarta,26.89726775956284,83.91165755919855,2263.8,2263.8,1349.43,0.3634149590163934,0.3539824681238616,0.35360382513661204,8784,0.35700041742562233
2020,Aceh,Aceh Utara,5.051701,97.318123,Asia/Jakarta,26.216598360655738,88.72222222222223,2894.6,2894.6,1253.34,0.34755510018214936,0.33497301912568306,0.338600295992714,8784,0.3403761384335155
2020,Aceh,Bireuen,5.203,96.701,Asia/Jakarta,25.9198087431694,87.99795081967213,2942.3,2942.3,1294.85,0.37912101548269583,0.3755957422586521,0.3759998861566484,8784,0.3769055479659988
2020,Aceh,Pidie,5.3807,95.9549,Asia/Jakarta,26.522256375227688,86.33082877959927,2559.5,2559.5,1305.08,0.32009369307832425,0.31808481329690347,0.320716985428051,8784,0.31963183060109285
2020,Bali,Badung,-8.54389,115.17,Asia/Makassar,25.513740892531878,87.16120218579235,2567.6,2567.6,1382.56,0.32397028688524593,0.3129667577413479,0.31767030965391624,8784,0.3182024514268367
2020,Bali,Buleleng,-8.112,115.08818,Asia/Makassar,26.76568761384335,83.90220856102003,2242.7,2242.7,1450.3,0.2285728597449909,0.2201379781420765,0.21368032786885247,8784,0.22079705525197327
2020,Bali,Gianyar,-8.5435,115.3272,Asia/Makassar,25.77110655737705,85.84392076502732,2158.8,2158.8,1407.4,0.23150432604735885,0.2155089936247723,0.21029269125683062,8784,0.21910200364298726
2020,Bali,Karangasem,-8.45,115.61667,Asia/Makassar,25.32768670309654,87.14799635701274,2435.8,2435.8,1373.39,0.19814947632058288,0.18424544626593808,0.18367622950819673,8784,0.18869038403157257
2020,Bali,Tabanan,-8.5413,115.12522,Asia/Makassar,25.513740892531878,87.16120218579235,2567.6,2567.6,1382.31,0.3204624316939891,0.3050439435336976,0.3026240892531876,8784,0.3093768214936248
2020,Banten,Cilegon,-6.0144,106.0542,Asia/Jakarta,26.844489981785063,83.39310109289617,2528.8,2528.8,1389.61,0.37521755464480877,0.3687781193078324,0.3647674180327869,8784,0.369587697328476
2020,Banten,Lebak,-6.3591,106.2494,Asia/Jakarta,26.368499544626594,86.07251821493625,3056.3,3056.3,1276.59,0.3715160519125683,0.3668400500910747,0.36439389799635696,8784,0.3675833333333333
2020,Banten,Pandeglang,-6.3084,106.1067,Asia/Jakarta,25.24500227686703,85.42110655737704,3168.8,3168.8,1192.28,0.431221766848816,0.4244322632058288,0.4181934198542805,8784,0.4246158166363084
2020,Banten,Serang,-6.125,106.23278,Asia/Jakarta,26.70303961748634,85.07354280510019,3328.7,3328.7,1306.73,0.36979622040072857,0.36256306921675774,0.36033925318761384,8784,0.36423284760170005
2020,Banten,Tangerang,-6.22806,106.51389,Asia/Jakarta,26.630908469945354,84.53882058287796,3015.1,3015.1,1302.74,0.3554604963570127,0.3488650956284153,0.3502774362477231,8784,0.3515343427443837
2020,Bengkulu,Bengkulu Selatan,-4.4651,102.90386,Asia/Jakarta,26.00143442622951,88.81386612021858,5102.6,5102.6,1227.4,0.40557046903460836,0.40529792805100184,0.40811350182149364,8784,0.40632729963570124
2020,Bengkulu,Kaur,-4.79371,103.34836,Asia/Jakarta,26.319797358834244,85.93078324225866,3377.0,3377.0,1292.16,0.39802094717668485,0.3981023451730419,0.40110405282331507,8784,0.3990757817243473
2020,Bengkulu,Mukomuko,-2.5689,101.1118,Asia/Jakarta,26.233686247723135,88.51354735883424,4425.4,4425.4,1254.68,0.383554189435337,0.38535906193078323,0.39620343806921676,8784,0.38837222981177905
2020,Bengkulu,Rejang Lebong,-3.4703,102.5207,Asia/Jakarta,22.666962659380694,90.97848360655738,4661.2,4661.2,1180.18,0.39967087887067393,0.40204678961748636,0.3994148451730419,8784,0.40037750455373405
2020,Bengkulu,Seluma,-4.07543,102.57739,Asia/Jakarta,26.27634335154827,87.36566484517304,4130.4,4130.4,1253.96,0.40490744535519124,0.40542748178506377,0.40837443078324226,8784,0.40623645264116576
