year,province,avg_temperature,avg_humidity,total_precipitation,total_rainfall,total_et0,avg_soil_moisture_0_to_7cm,avg_soil_moisture_7_to_28cm,avg_soil_moisture_28_to_100cm,avg_soil_moisture,city_count,total_hourly_records
2020,Aceh,25.793927595628418,86.85985883424408,2924.94,2924.94,1272.6599999999999,0.3586153916211293,0.35323221766848817,0.35478688524590163,0.3555448315118397,5,43920
2020,Bali,25.778392531876136,86.24330601092896,2394.5,2394.5,1399.192,0.26053187613843354,0.24758062386156648,0.24558872950819674,0.2512337431693989,5,43920
2020,Banten,26.358387978142076,84.89981785063752,3019.54,3019.54,1293.59,0.38064241803278687,0.37429571948998175,0.37159428506375225,0.3755108075288403,5,43920
2020,Bengkulu,25.49964480874317,88.32046903460838,4339.32,4339.32,1241.676,0.39834478597449907,0.3992467213114754,0.4026420537340619,0.4000778536733455,5,43920
2020,DI Yogyakarta,25.706545992714023,84.74130236794171,3131.7599999999998,3131.7599999999998,1308.7,0.2936311247723133,0.28801393442622947,0.29536951275045537,0.29233819064966604,5,43920
2020,DKI Jakarta,27.06584927140255,82.4381830601093,2792.2599999999998,2792.2599999999998,1377.602,0.40529585040983607,0.3996721026867031,0.403418602003643,0.4027955183667274,5,43920
2020,Gorontalo,26.635250455373402,86.00086520947175,2554.08,2554.08,1331.6799999999998,0.3959370446265938,0.3952226775956284,0.3952591757741348,0.3954729659987857,5,43920
2020,Jambi,25.324357923497267,88.17363387978142,3188.52,3188.52,1232.922,0.41322591074681236,0.41510997267759564,0.4147670081967213,0.41436763054037645,5,43920
2020,Jawa Barat,25.57019353369763,81.75412112932604,2897.7799999999997,2897.7799999999997,1373.2720000000002,0.3493562386156649,0.3442011612021858,0.34925967668488156,0.3476056921675774,5,43920
2020,Jawa Tengah,26.933399362477235,81.75182149362476,2829.0,2829.0,1459.868,0.35565881147540984,0.3543486111111111,0.357818897996357,0.3559421068609593,5,43920
2020,Jawa Timur,27.248160291438978,78.78142076502732,2358.18,2358.18,1533.336,0.35298308287795993,0.35295437158469944,0.3568202413479053,0.3542525652701882,5,43920
2020,Kalimantan Barat,25.988722677595625,90.92964480874318,3511.44,3511.44,1178.608,0.3777481102003643,0.3796657103825137,0.3781311930783242,0.3785150045537341,5,43920
2020,Kalimantan Selatan,26.296029143898,87.85655737704919,3494.1800000000003,3494.1800000000003,1224.0620000000001,0.456235587431694,0.4595900500910747,0.45730138888888894,0.4577090088038858,5,43920
2020,Kalimantan Tengah,26.534904371584695,88.34915755919853,3739.66,3739.66,1236.526,0.3786503870673953,0.3785135018214936,0.3725946721311476,0.3765861870066788,5,43920
2020,Kalimantan Timur,26.25971083788707,90.01994535519125,3452.2,3452.2,1255.9360000000001,0.4112720173041894,0.41210500910746806,0.41275660291438976,0.41204454310868244,5,43920
2020,Kalimantan Utara,26.405132058287798,89.74535519125683,4109.5199999999995,4109.5199999999995,1287.048,0.426926616575592,0.4287899590163934,0.4306358606557377,0.4287841454159077,5,43920
2020,Kepulauan Bangka Belitung,26.830739981785065,86.20122950819672,2593.98,2593.98,1275.644,0.3475528005464481,0.3460596083788706,0.3410055327868853,0.34487264723740135,5,43920
2020,Kepulauan Riau,26.623859289617485,83.9073087431694,2469.44,2469.44,1362.778,0.29889556010928964,0.300684266848816,0.29266778233151186,0.29741586976320583,5,43920
2020,Lampung,26.42983378870674,86.86643897996358,3080.96,3080.96,1255.956,0.4499967440801457,0.44967210837887067,0.44785555555555556,0.44917480267152393,5,43920
2020,Maluku,26.463501821493622,85.83356102003643,2372.8599999999997,2372.8599999999997,1337.516,0.3212250455373406,0.3189736111111111,0.3111097449908925,0.3171028005464481,5,43920
2020,Maluku Utara,26.472607012750455,88.75551001821493,3874.34,3874.34,1328.392,0.3891731329690346,0.38641391165755923,0.382488160291439,0.38602506830601097,5,43920
2020,Nusa Tenggara Barat,26.628784153005466,81.43483606557376,1761.2,1761.2,1511.158,0.3412214480874317,0.3430757741347905,0.35044995446265936,0.3449157255616272,5,43920
2020,Nusa Tenggara Timur,24.31384107468124,78.60295992714025,1506.22,1506.22,1565.9060000000002,0.27124845173041895,0.2666899590163935,0.25935336976320583,0.26576392683667277,5,43920
2020,Papua,26.520742258652092,90.20466757741349,4954.36,4954.36,1267.8139999999999,0.45129387522768666,0.4528804189435337,0.45119660746812384,0.4517903005464481,5,43920
2020,Papua Barat,26.242784608378873,88.7547131147541,2997.8,2997.8,1270.926,0.42910603369763206,0.43043244535519126,0.4305485883424408,0.43002902246508806,5,43920
2020,Papua Barat Daya,24.926691712204008,90.78957194899819,5097.18,5097.18,1251.768,0.4168307604735883,0.4192087659380692,0.4199207650273224,0.41865343047966,5,43920
2020,Papua Pegunungan,19.664337431693987,88.08246812386156,5489.42,5489.42,1156.566,0.42819487704918036,0.43021810109289615,0.43133966302367943,0.429917547055252,5,43920
